caller,request_format,compatible_with_v4
service-001,decimal_currency_string,true
service-002,decimal_currency_string,true
service-003,decimal_currency_string,true
service-004,decimal_currency_string,true
service-005,decimal_currency_string,true
service-006,decimal_currency_string,true
service-007,decimal_currency_string,true
service-008,decimal_currency_string,true
service-009,decimal_currency_string,true
service-010,decimal_currency_string,true
service-011,decimal_currency_string,true
service-012,decimal_currency_string,true
service-013,integer_cents,false
service-014,decimal_currency_string,true
service-015,decimal_currency_string,true
service-016,decimal_currency_string,true
service-017,decimal_currency_string,true
service-018,decimal_currency_string,true
service-019,decimal_currency_string,true
service-020,decimal_currency_string,true
service-021,decimal_currency_string,true
service-022,decimal_currency_string,true
service-023,decimal_currency_string,true
service-024,decimal_currency_string,true
service-025,decimal_currency_string,true
service-026,integer_cents,false
service-027,decimal_currency_string,true
service-028,decimal_currency_string,true
service-029,decimal_currency_string,true
service-030,decimal_currency_string,true
service-031,decimal_currency_string,true
service-032,decimal_currency_string,true
service-033,decimal_currency_string,true
service-034,decimal_currency_string,true
service-035,decimal_currency_string,true
service-036,decimal_currency_string,true
service-037,decimal_currency_string,true
service-038,decimal_currency_string,true
service-039,integer_cents,false
service-040,decimal_currency_string,true
service-041,decimal_currency_string,true
service-042,decimal_currency_string,true
service-043,decimal_currency_string,true
service-044,decimal_currency_string,true
service-045,decimal_currency_string,true
service-046,decimal_currency_string,true
service-047,decimal_currency_string,true
service-048,decimal_currency_string,true
service-049,decimal_currency_string,true
service-050,decimal_currency_string,true
service-051,decimal_currency_string,true
service-052,integer_cents,false
service-053,decimal_currency_string,true
service-054,decimal_currency_string,true
service-055,decimal_currency_string,true
service-056,decimal_currency_string,true
service-057,decimal_currency_string,true
service-058,decimal_currency_string,true
service-059,decimal_currency_string,true
service-060,decimal_currency_string,true
service-061,decimal_currency_string,true
service-062,decimal_currency_string,true
service-063,decimal_currency_string,true
service-064,decimal_currency_string,true
service-065,integer_cents,false
service-066,decimal_currency_string,true
service-067,decimal_currency_string,true
service-068,decimal_currency_string,true
service-069,decimal_currency_string,true
service-070,decimal_currency_string,true
service-071,decimal_currency_string,true
service-072,decimal_currency_string,true
service-073,decimal_currency_string,true
service-074,decimal_currency_string,true
service-075,decimal_currency_string,true
service-076,decimal_currency_string,true
service-077,decimal_currency_string,true
service-078,integer_cents,false
service-079,decimal_currency_string,true
service-080,decimal_currency_string,true
service-081,decimal_currency_string,true
service-082,decimal_currency_string,true
service-083,decimal_currency_string,true
service-084,decimal_currency_string,true
service-085,decimal_currency_string,true
service-086,decimal_currency_string,true
service-087,decimal_currency_string,true
service-088,decimal_currency_string,true
service-089,decimal_currency_string,true
service-090,decimal_currency_string,true
service-091,integer_cents,false
service-092,decimal_currency_string,true
service-093,decimal_currency_string,true
service-094,decimal_currency_string,true
service-095,decimal_currency_string,true
service-096,decimal_currency_string,true
service-097,decimal_currency_string,true
service-098,decimal_currency_string,true
service-099,decimal_currency_string,true
service-100,decimal_currency_string,true
service-101,decimal_currency_string,true
service-102,decimal_currency_string,true
service-103,decimal_currency_string,true
service-104,integer_cents,false
service-105,decimal_currency_string,true
service-106,decimal_currency_string,true
service-107,decimal_currency_string,true
service-108,decimal_currency_string,true
service-109,decimal_currency_string,true
service-110,decimal_currency_string,true
service-111,decimal_currency_string,true
service-112,decimal_currency_string,true
service-113,decimal_currency_string,true
service-114,decimal_currency_string,true
service-115,decimal_currency_string,true
service-116,decimal_currency_string,true
service-117,integer_cents,false
service-118,decimal_currency_string,true
service-119,decimal_currency_string,true
service-120,decimal_currency_string,true
service-121,decimal_currency_string,true
service-122,decimal_currency_string,true
service-123,decimal_currency_string,true
service-124,decimal_currency_string,true
service-125,decimal_currency_string,true
service-126,decimal_currency_string,true
service-127,decimal_currency_string,true
service-128,decimal_currency_string,true
service-129,decimal_currency_string,true
service-130,integer_cents,false
service-131,decimal_currency_string,true
service-132,decimal_currency_string,true
service-133,decimal_currency_string,true
service-134,decimal_currency_string,true
service-135,decimal_currency_string,true
service-136,decimal_currency_string,true
service-137,decimal_currency_string,true
service-138,decimal_currency_string,true
service-139,decimal_currency_string,true
service-140,decimal_currency_string,true
service-141,decimal_currency_string,true
service-142,decimal_currency_string,true
service-143,integer_cents,false
service-144,decimal_currency_string,true
service-145,decimal_currency_string,true
service-146,decimal_currency_string,true
service-147,decimal_currency_string,true
service-148,decimal_currency_string,true
service-149,decimal_currency_string,true
service-150,decimal_currency_string,true
